Name,Fortran,C,Call,External
perry_0.2.0,0,0,0,0
EMMLi_0.0.3,0,0,0,0
dbfaker_0.1.0,0,0,0,0
mcgfa_1.0.0,0,1,0,0
MaxPro_3.1-2,0,2,0,0
epidata_0.1.0,0,0,0,0
qgraph_1.4.4,0,1,0,0
eba_1.7-2,0,0,0,0
polyCub_0.6.1,0,2,0,0
vennLasso_0.1.1,0,0,4,0
VecStatGraphs2D_1.8,0,0,0,0
focusedMDS_1.3.3,0,0,0,0
listdtr_1.0,0,0,6,0
metagear_0.4,0,0,0,0
taskscheduleR_1.1,0,0,0,0
BUCSS_0.0.2,0,0,0,0
keyring_1.0.0,0,0,29,0
PairViz_1.2.1,0,0,0,0
rforensicbatwing_1.3,0,0,1,0
mutSignatures_1.2,0,0,0,0
validatejsonr_1.0.4,0,0,4,0
Rgbp_1.1.2,0,0,0,0
ncmeta_0.0.1,0,0,2,0
pbdPROF_0.3-1,0,0,0,0
effects_4.0-0,0,0,0,0
addinslist_0.2,0,0,0,0
LearnGeom_1.3,0,0,0,0
mem_2.11,0,0,0,0
ramcmc_0.1.0,0,0,3,0
ChemometricsWithR_0.1.11,0,0,0,0
nlmeODE_1.1,0,0,0,0
RFormatter_0.1.1,0,0,0,0
credule_0.1.3,0,2,0,0
dbarts_0.8-7,0,0,43,0
TSCS_0.1.1,0,0,0,0
rstansim_0.1.1,0,0,0,0
rpostgis_1.4.0,0,0,0,0
conf.design_2.0.0,0,0,0,0
ReorderCluster_1.0,0,0,1,0
EasyStrata_8.6,0,0,0,0
beginr_0.1.0,0,0,0,0
rLindo_8.0.1,0,0,283,0
MGRASTer_0.9,0,0,0,0
portes_2.1-4,0,0,0,0
POUMM_1.3.2,0,0,0,0
shinybootstrap2_0.2.1,0,0,0,0
cartogram_0.0.2,0,0,0,0
callr_1.0.0,0,0,0,0
rTensor_1.3,0,0,0,0
mopsocd_0.5.1,0,0,0,0
monkeylearn_0.1.3,0,0,0,0
gge_1.3,0,0,0,0
ParallelForest_1.1.0,0,0,0,0
cudaBayesregData_0.3-11,0,0,0,0
intRegGOF_0.85-1,0,0,0,0
speciesgeocodeR_1.0-4,0,0,0,0
cld2_1.1,0,0,2,0
GlobalOptions_0.0.12,0,0,0,0
tm.plugin.lexisnexis_1.3.1,0,0,0,0
geotoolsR_1.0,0,0,0,0
MonetDB.R_1.0.1,0,0,0,0
powerGWASinteraction_1.1.3,0,0,0,0
gplm_0.7-4,0,3,0,0
pulsar_0.2.5,0,2,0,0
Strategy_1.0.1,0,0,0,0
lowmemtkmeans_0.1.2,0,0,5,0
cmna_1.0.0,0,0,0,0
qualityTools_1.55,0,0,0,0
psoptim_1.0,0,0,0,0
hmmm_1.0-3,0,0,0,0
rCAT_0.1.5,0,0,0,0
iC10_1.1.3,0,0,0,0
coala_0.5.2,0,0,15,0
RcppCNPy_0.2.8,0,0,0,0
DySeq_0.22,0,0,0,0
tmvtnorm_1.4-10,8,0,0,0
wildcard_1.1.0,0,0,0,0
mrds_2.1.18,0,0,0,0
ggseqlogo_0.1,0,0,0,0
glmgraph_1.0.3,0,0,4,0
hint_0.1-1,0,1,0,0
tpAUC_2.1.1,0,0,0,0
TRD_1.1,0,0,0,0
RSarules_1.0,0,0,0,0
CommunityCorrelogram_1.0,0,0,0,0
lavaan_0.5-23.1097,0,0,0,0
FDRsampsize_1.0,0,0,0,0
ritis_0.7.0,0,0,0,0
MPV_1.38,0,0,0,0
BIGDAWG_1.16,0,0,0,0
TotalCopheneticIndex_1.0.0,0,0,0,0
survminer_0.4.1,0,0,0,0
coreTDT_1.0,0,0,0,0
gvcm.cat_1.9,0,0,0,0
dclone_2.1-2,0,0,0,0
circlize_0.4.3,0,0,0,0
momentchi2_0.1.5,0,0,0,0
customizedTraining_1.1,0,0,0,0
cccrm_1.2.1,0,0,0,0
mdmb_0.4-15,0,0,0,0
MODISSnow_0.1.0.0,0,0,0,0
coindeskr_0.1.0,0,0,0,0
jiebaRD_0.1,0,0,0,0
wnl_0.3.2,0,0,0,0
document_2.2.0,0,0,0,0
simSummary_0.1.0,0,0,0,0
FishResp_0.2.0,0,0,0,0
rdataretriever_1.0.0,0,0,0,0
displayHTS_1.0,0,0,0,0
fmbasics_0.3.0,0,0,0,0
SmoothWin_1.0.0,0,0,0,0
R2MLwiN_0.8-5,0,0,1,0
MMMS_0.1,0,0,0,0
ggghost_0.2.1,0,0,0,0
csabounds_1.0.0,0,0,0,0
snnR_1.0,0,1,1,0
afex_0.19-1,0,0,0,0
prodlim_1.6.1,0,31,0,0
svenssonm_0.1.0,0,0,0,0
CINID_1.2,0,0,0,0
rsgcc_1.0.6,0,4,0,0
agridat_1.13,0,0,0,0
